a               a sp sp
acara           a c a r a sp sp
acaranya        a c a r a n y a sp sp
ada             a d a sp sp
adakah          a d a k a h sp sp
adalah          a d a l a h sp sp
adanya          a d a n y a sp sp
adaptasi        a d a p t a s i sp sp
adik            a d i k sp sp
adik-adik       a d i k - a d i k sp sp
agak            a g a k sp sp
agama           a g a m a sp sp
agar            a g a r sp sp
agen            a g e n sp sp
agenda          a g e n d a sp sp
agustus         a g u s t u s sp sp
ah              a h sp sp
air             a i r sp sp
aja             a j a sp sp
ajak            a j a k sp sp
ajaran          a j a r a n sp sp
aji             a j i sp sp
akademis        a k a d e m i s sp sp
akademisi       a k a d e m i s i sp sp
akal            a k a l sp sp
akan            a k a n sp sp
akhir           a k h i r sp sp
akhiri          a k h i r i sp sp
akibatnya       a k i b a t n y a sp sp
akmal           a k m a l sp sp
akses           a k s e s sp sp
aktif           a k t i f sp sp
aktivitas       a k t i v i t a s sp sp
aku             a k u sp sp
akui            a k u i sp sp
akumulasi       a k u m u l a s i sp sp
akun            a k u n sp sp
alamat          a l a m a t sp sp
alamatnya       a l a m a t n y a sp sp
alasan          a l a s a n sp sp
alasannya       a l a s a n n y a sp sp
alat            a l a t sp sp
alat-alat       a l a t - a l a t sp sp
alatnya         a l a t n y a sp sp
alias           a l i a s sp sp
alkali          a l k a l i sp sp
alternatif      a l t e r n a t i f sp sp
alumni          a l u m n i sp sp
alur            a l u r sp sp
aman            a m a n sp sp
ambil           a m b i l sp sp
amerika         a m e r i k a sp sp
anak            a n a k sp sp
anak-anak       a n a k - a n a k sp sp
analisis        a n a l i s i s sp sp
ancol           a n c o l sp sp
anda            a n d a sp sp
anggaran        a n g g a r a n sp sp
anggarannya     a n g g a r a n n y a sp sp
anggota         a n g g o t a sp sp
anggotanya      a n g g o t a n y a sp sp
angka           a n g k a sp sp
angkatan        a n g k a t a n sp sp
anjuran         a n j u r a n sp sp
anonim          a n o n i m sp sp
antar           a n t a r sp sp
antara          a n t a r a sp sp
apa             a p a sp sp
apa-apa         a p a - a p a sp sp
apabila         a p a b i l a sp sp
apakah          a p a k a h sp sp
aplikasi        a p l i k a s i sp sp
aplikasinya     a p l i k a s i n y a sp sp
apresiasi       a p r e s i a s i sp sp
apresiasinya    a p r e s i a s i n y a sp sp
april           a p r i l sp sp
aqua            a q u a sp sp
arahannya       a r a h a n n y a sp sp
area            a r e a sp sp
arif            a r i f sp sp
artinya         a r t i n y a sp sp
asesmen         a s e s m e n sp sp
asia            a s i a sp sp
aspirasi        a s p i r a s i sp sp
assalamualaikum a s s a l a m u a l a i k u m sp sp
asumsi          a s u m s i sp sp
atas            a t a s sp sp
atau            a t a u sp sp
ataupun         a t a u p u n sp sp
atribut         a t r i b u t sp sp
atributnya      a t r i b u t n y a sp sp
aturan          a t u r a n sp sp
aturan-aturan   a t u r a n - a t u r a n sp sp
aula            a u l a sp sp
australia       a u s t r a l i a sp sp
autentikasi     a u t e n t i k a s i sp sp
awal            a w a l sp sp
awal-awal       a w a l - a w a l sp sp
awalnya         a w a l n y a sp sp
ayam            a y a m sp sp
b               b sp sp
baca            b a c a sp sp
bacakan         b a c a k a n sp sp
backend         b a c k e n d sp sp
badan           b a d a n sp sp
bagaimana       b a g a i m a n a sp sp
bagi            b a g i sp sp
bagian          b a g i a n sp sp
bagus           b a g u s sp sp
bahan           b a h a n sp sp
bahannya        b a h a n n y a sp sp
bahas           b a h a s sp sp
bahasan         b a h a s a n sp sp
bahkan          b a h k a n sp sp
bahwa           b a h w a sp sp
baik            b a i k sp sp
baiklah         b a i k l a h sp sp
baiknya         b a i k n y a sp sp
bajunya         b a j u n y a sp sp
bakal           b a k a l sp sp
bakar           b a k a r sp sp
bakat           b a k a t sp sp
baku            b a k u sp sp
bali            b a l i sp sp
balik           b a l i k sp sp
banding         b a n d i ng sp sp
bandung         b a n d u ng sp sp
banget          b a n g e t sp sp
bantu           b a n t u sp sp
bantuan         b a n t u a n sp sp
banu            b a n u sp sp
banyak          b a n y a k sp sp
banyak-banyaknya b a n y a k - b a n y a k n y a sp sp
banyaknya       b a n y a k n y a sp sp
bapak           b a p a k sp sp
bapak-bapak     b a p a k - b a p a k sp sp
bapak-ibu       b a p a k - i b u sp sp
barang          b a r a ng sp sp
barang-barang   b a r a n g - b a r a ng sp sp
barangnya       b a r a n g n y a sp sp
barat           b a r a t sp sp
bareng          b a r e ng sp sp
baru            b a r u sp sp
barunya         b a r u n y a sp sp
barusan         b a r u s a n sp sp
basis           b a s i s sp sp
batas           b a t a s sp sp
bawa            b a w a sp sp
bayam           b a y a m sp sp
bbm             b b m sp sp
beban           b e b a n sp sp
bebas           b e b a s sp sp
beberapa        b e b e r a p a sp sp
begitu          b e g i t u sp sp
bekas           b e k a s sp sp
bekerja         b e k e r j a sp sp
bekerjamasama   b e k e r j a m a s a m a sp sp
bekerjanya      b e k e r j a n y a sp sp
belajar         b e l a j a r sp sp
belakang        b e l a k a ng sp sp
belakangi       b e l a k a n g i sp sp
belas           b e l a s sp sp
belasan         b e l a s a n sp sp
beliau          b e l i a u sp sp
belom           b e l o m sp sp
belum           b e l u m sp sp
belut           b e l u t sp sp
benar           b e n a r sp sp
benarnya        b e n a r n y a sp sp
bendahara       b e n d a h a r a sp sp
bener-bener     b e n e r - b e n e r sp sp
bentar          b e n t a r sp sp
bentuk          b e n t u k sp sp
berada          b e r a d a sp sp
beradaptasi     b e r a d a p t a s i sp sp
beragam         b e r a g a m sp sp
berakhir        b e r a k h i r sp sp
beralih         b e r a l i h sp sp
beranjak        b e r a n j a k sp sp
berapa          b e r a p a sp sp
berarti         b e r a r t i sp sp
berbagai        b e r b a g a i sp sp
berbahan        b e r b a h a n sp sp
berbahaya       b e r b a h a y a sp sp
berbeda         b e r b e d a sp sp
berbeda-beda    b e r b e d a - b e d a sp sp
berbentuk       b e r b e n t u k sp sp
berbincang      b e r b i n c a ng sp sp
berbobot        b e r b o b o t sp sp
berbuah         b e r b u a h sp sp
berdampak       b e r d a m p a k sp sp
berdasarkan     b e r d a s a r k a n sp sp
berdekatan      b e r d e k a t a n sp sp
berdiri         b e r d i r i sp sp
berdoa          b e r d o a sp sp
berdua          b e r d u a sp sp
berefek         b e r e f e k sp sp
berencana       b e r e n c a n a sp sp
berfungsi       b e r f u n g s i sp sp
bergabung       b e r g a b u ng sp sp
bergantung      b e r g a n t u ng sp sp
berguna         b e r g u n a sp sp
berharap        b e r h a r a p sp sp
berhasil        b e r h a s i l sp sp
berhubung       b e r h u b u ng sp sp
berhubungan     b e r h u b u n g a n sp sp
berikan         b e r i k a n sp sp
berikut         b e r i k u t sp sp
berikutnya      b e r i k u t n y a sp sp
berisi          b e r i s i sp sp
berisiko        b e r i s i k o sp sp
berita          b e r i t a sp sp
berjaga         b e r j a g a sp sp
berjalan        b e r j a l a n sp sp
berjualan       b e r j u a l a n sp sp
berkaitan       b e r k a i t a n sp sp
berkat          b e r k a t sp sp
berkata         b e r k a t a sp sp
berkembang      b e r k e m b a ng sp sp
berkemungkinan  b e r k e m u n g k i n a n sp sp
berkisar        b e r k i s a r sp sp
berkomentar     b e r k o m e n t a r sp sp
berkontribusi   b e r k o n t r i b u s i sp sp
berkumpul       b e r k u m p u l sp sp
berlaku         b e r l a k u sp sp
berlangsung     b e r l a n g s u ng sp sp
berlanjut       b e r l a n j u t sp sp
berlebih        b e r l e b i h sp sp
berlomba        b e r l o m b a sp sp
bermanfaat      b e r m a n f a a t sp sp
bernama         b e r n a m a sp sp
berpartisipasi  b e r p a r t i s i p a s i sp sp
berpengaruh     b e r p e n g a r u h sp sp
berperan        b e r p e r a n sp sp
berperilaku     b e r p e r i l a k u sp sp
berpikir        b e r p i k i r sp sp
berpindah       b e r p i n d a h sp sp
berpola         b e r p o l a sp sp
bersama         b e r s a m a sp sp
bersangkutan    b e r s a n g k u t a n sp sp
bersedia        b e r s e d i a sp sp
bersemangat     b e r s e m a n g a t sp sp
bersiap-siap    b e r s i a p - s i a p sp sp
bersih          b e r s i h sp sp
bersih-bersih   b e r s i h - b e r s i h sp sp
bertambah       b e r t a m b a h sp sp
bertanggung     b e r t a n g g u ng sp sp
bertanya        b e r t a n y a sp sp
bertentangan    b e r t e n t a n g a n sp sp
berterima       b e r t e r i m a sp sp
bertiga         b e r t i g a sp sp
bertindak       b e r t i n d a k sp sp
bertugas        b e r t u g a s sp sp
berubah         b e r u b a h sp sp
berunding       b e r u n d i ng sp sp
berupa          b e r u p a sp sp
berwarna        b e r w a r n a sp sp
besar           b e s a r sp sp
beserta         b e s e r t a sp sp
besok           b e s o k sp sp
besoknya        b e s o k n y a sp sp
betul           b e t u l sp sp
biar            b i a r sp sp
biasa           b i a s a sp sp
biasanya        b i a s a n y a sp sp
biaya           b i a y a sp sp
bicarakan       b i c a r a k a n sp sp
bidang          b i d a ng sp sp
bidangnya       b i d a n g n y a sp sp
bikin           b i k i n sp sp
bila            b i l a sp sp
bilang          b i l a ng sp sp
bincang-bincang b i n c a n g - b i n c a ng sp sp
bisa            b i s a sp sp
biskuit         b i s k u i t sp sp
bisnis          b i s n i s sp sp
bitbucket       b i t b u c k e t sp sp
board           b o a r d sp sp
boleh           b o l e h sp sp
bonus           b o n u s sp sp
brokoli         b r o k o l i sp sp
browser         b r o w s e r sp sp
brt             b r t sp sp
bu              b u sp sp
buah            b u a h sp sp
buat            b u a t sp sp
bubar           b u b a r sp sp
budi            b u d i sp sp
bujet           b u j e t sp sp
buka            b u k a sp sp
bukan           b u k a n sp sp
bukankah        b u k a n k a h sp sp
bukannya        b u k a n n y a sp sp
